
  2022-06-17 20:48:46 INFO  Utils:112 - [Utils] DynamicGraphHelper.createDynamicGraph() took 30 ms.
  2022-06-17 20:54:57 INFO  Utils:112 - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 1 ms.
  2022-06-17 20:54:57 INFO  Utils:112 - [Utils] MethodGroupsHelper.sortMethods() took 3 ms.
  2022-06-17 20:54:57 INFO  Utils:112 - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 0 ms.
  2022-06-17 20:54:57 INFO  Utils:112 - [Utils] MethodGroupsHelper.sortMethods() took 0 ms.
  2022-06-17 20:54:57 INFO  Utils:112 - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 26 ms.
  2022-06-17 20:54:57 INFO  Utils:112 - [Utils] MethodGroupsHelper.sortMethods() took 95 ms.
  2022-06-17 20:54:57 INFO  Utils:112 - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 0 ms.
  2022-06-17 20:54:57 INFO  Utils:112 - [Utils] MethodGroupsHelper.sortMethods() took 0 ms.
  2022-06-17 20:54:57 INFO  Utils:112 - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 0 ms.
  2022-06-17 20:54:57 INFO  Utils:112 - [Utils] MethodGroupsHelper.sortMethods() took 0 ms.
  2022-06-17 20:54:57 INFO  Utils:112 - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 0 ms.
  2022-06-17 20:54:57 INFO  Utils:112 - [Utils] MethodGroupsHelper.sortMethods() took 0 ms.
  2022-06-17 20:54:57 INFO  Utils:112 - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 0 ms.
  2022-06-17 20:54:57 INFO  Utils:112 - [Utils] MethodGroupsHelper.sortMethods() took 0 ms.
  2022-06-17 20:54:57 INFO  Utils:112 - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 0 ms.
  2022-06-17 20:54:57 INFO  Utils:112 - [Utils] MethodGroupsHelper.sortMethods() took 0 ms.
  2022-06-17 20:54:57 INFO  Utils:112 - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 0 ms.
  2022-06-17 20:54:57 INFO  Utils:112 - [Utils] MethodGroupsHelper.sortMethods() took 0 ms.
  2022-06-17 20:54:57 INFO  Utils:112 - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 0 ms.
  2022-06-17 20:54:57 INFO  Utils:112 - [Utils] MethodGroupsHelper.sortMethods() took 0 ms.
  2022-06-17 20:54:57 INFO  Utils:112 - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 0 ms.
  2022-06-17 20:54:57 INFO  Utils:112 - [Utils] MethodGroupsHelper.sortMethods() took 0 ms.
  2022-06-17 20:54:57 INFO  Utils:112 - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 12 ms.
  2022-06-17 20:54:57 INFO  Utils:112 - [Utils] MethodGroupsHelper.sortMethods() took 4 ms.
  2022-06-17 20:54:57 INFO  Utils:112 - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 0 ms.
  2022-06-17 20:54:57 INFO  Utils:112 - [Utils] MethodGroupsHelper.sortMethods() took 45 ms.
  2022-06-17 20:54:57 INFO  Utils:112 - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 1 ms.
  2022-06-17 20:54:57 INFO  Utils:112 - [Utils] MethodGroupsHelper.sortMethods() took 7 ms.
  2022-06-17 20:54:57 INFO  Utils:112 - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 0 ms.
  2022-06-17 20:54:57 INFO  Utils:112 - [Utils] MethodGroupsHelper.sortMethods() took 0 ms.
  2022-06-17 20:54:57 INFO  Utils:112 - [TestNG] Running:
  D:\EPAM_QA_AUTUMN\IdeaProjectsMaven\HomeTask_Parallel_PageFactory\testng.xml

  2022-06-17 20:54:57 INFO  Utils:112 - [ThreadUtil] Starting executor timeOut:2147483647ms workers:1 threadPoolSize:1
  2022-06-17 20:55:15 INFO  Utils:112 - [Utils] DynamicGraphHelper.createDynamicGraph() took 33 ms.
  2022-06-17 21:11:07 INFO  Utils:112 - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 0 ms.
  2022-06-17 21:11:07 INFO  Utils:112 - [Utils] MethodGroupsHelper.sortMethods() took 2 ms.
  2022-06-17 21:11:07 INFO  Utils:112 - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 0 ms.
  2022-06-17 21:11:07 INFO  Utils:112 - [Utils] MethodGroupsHelper.sortMethods() took 0 ms.
  2022-06-17 21:11:07 INFO  Utils:112 - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 14 ms.
  2022-06-17 21:11:07 INFO  Utils:112 - [Utils] MethodGroupsHelper.sortMethods() took 28 ms.
  2022-06-17 21:11:07 INFO  Utils:112 - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 0 ms.
  2022-06-17 21:11:07 INFO  Utils:112 - [Utils] MethodGroupsHelper.sortMethods() took 0 ms.
  2022-06-17 21:11:07 INFO  Utils:112 - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 0 ms.
  2022-06-17 21:11:07 INFO  Utils:112 - [Utils] MethodGroupsHelper.sortMethods() took 0 ms.
  2022-06-17 21:11:07 INFO  Utils:112 - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 0 ms.
  2022-06-17 21:11:07 INFO  Utils:112 - [Utils] MethodGroupsHelper.sortMethods() took 0 ms.
  2022-06-17 21:11:07 INFO  Utils:112 - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 0 ms.
  2022-06-17 21:11:07 INFO  Utils:112 - [Utils] MethodGroupsHelper.sortMethods() took 0 ms.
  2022-06-17 21:11:07 INFO  Utils:112 - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 0 ms.
  2022-06-17 21:11:07 INFO  Utils:112 - [Utils] MethodGroupsHelper.sortMethods() took 0 ms.
  2022-06-17 21:11:07 INFO  Utils:112 - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 0 ms.
  2022-06-17 21:11:07 INFO  Utils:112 - [Utils] MethodGroupsHelper.sortMethods() took 0 ms.
  2022-06-17 21:11:07 INFO  Utils:112 - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 0 ms.
  2022-06-17 21:11:07 INFO  Utils:112 - [Utils] MethodGroupsHelper.sortMethods() took 0 ms.
  2022-06-17 21:11:07 INFO  Utils:112 - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 0 ms.
  2022-06-17 21:11:07 INFO  Utils:112 - [Utils] MethodGroupsHelper.sortMethods() took 0 ms.
  2022-06-17 21:11:07 INFO  Utils:112 - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 3 ms.
  2022-06-17 21:11:07 INFO  Utils:112 - [Utils] MethodGroupsHelper.sortMethods() took 0 ms.
  2022-06-17 21:11:07 INFO  Utils:112 - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 0 ms.
  2022-06-17 21:11:07 INFO  Utils:112 - [Utils] MethodGroupsHelper.sortMethods() took 0 ms.
  2022-06-17 21:11:07 INFO  Utils:112 - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 1 ms.
  2022-06-17 21:11:07 INFO  Utils:112 - [Utils] MethodGroupsHelper.sortMethods() took 0 ms.
  2022-06-17 21:11:07 INFO  Utils:112 - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 0 ms.
  2022-06-17 21:11:07 INFO  Utils:112 - [Utils] MethodGroupsHelper.sortMethods() took 0 ms.
  2022-06-17 21:11:07 INFO  Utils:112 - [TestNG] Running:
  D:\EPAM_QA_AUTUMN\IdeaProjectsMaven\HomeTask_Parallel_PageFactory\testng.xml

  2022-06-17 21:11:07 INFO  Utils:112 - [ThreadUtil] Starting executor timeOut:2147483647ms workers:1 threadPoolSize:1
  2022-06-17 21:11:08 INFO  Utils:112 - [Utils] DynamicGraphHelper.createDynamicGraph() took 10 ms.
  2022-06-17 21:11:08 INFO  Utils:112 - [TestNG] Time taken by org.uncommons.reportng.HTMLReporter@78383390: 251 ms
  2022-06-17 21:11:08 INFO  Utils:112 - [TestNG] Time taken by org.uncommons.reportng.JUnitXMLReporter@906d29b: 18 ms
  2022-06-17 21:11:08 INFO  Utils:112 - [TestNG] Time taken by org.testng.internal.ExitCodeListener@49d3c823: 0 ms
  2022-06-17 21:15:15 INFO  Utils:112 - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 1 ms.
  2022-06-17 21:15:15 INFO  Utils:112 - [Utils] MethodGroupsHelper.sortMethods() took 3 ms.
  2022-06-17 21:15:15 INFO  Utils:112 - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 0 ms.
  2022-06-17 21:15:15 INFO  Utils:112 - [Utils] MethodGroupsHelper.sortMethods() took 0 ms.
  2022-06-17 21:15:15 INFO  Utils:112 - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 13 ms.
  2022-06-17 21:15:15 INFO  Utils:112 - [Utils] MethodGroupsHelper.sortMethods() took 50 ms.
  2022-06-17 21:15:15 INFO  Utils:112 - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 0 ms.
  2022-06-17 21:15:15 INFO  Utils:112 - [Utils] MethodGroupsHelper.sortMethods() took 0 ms.
  2022-06-17 21:15:15 INFO  Utils:112 - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 0 ms.
  2022-06-17 21:15:15 INFO  Utils:112 - [Utils] MethodGroupsHelper.sortMethods() took 0 ms.
  2022-06-17 21:15:15 INFO  Utils:112 - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 0 ms.
  2022-06-17 21:15:15 INFO  Utils:112 - [Utils] MethodGroupsHelper.sortMethods() took 0 ms.
  2022-06-17 21:15:15 INFO  Utils:112 - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 0 ms.
  2022-06-17 21:15:15 INFO  Utils:112 - [Utils] MethodGroupsHelper.sortMethods() took 0 ms.
  2022-06-17 21:15:15 INFO  Utils:112 - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 0 ms.
  2022-06-17 21:15:15 INFO  Utils:112 - [Utils] MethodGroupsHelper.sortMethods() took 0 ms.
  2022-06-17 21:15:15 INFO  Utils:112 - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 0 ms.
  2022-06-17 21:15:15 INFO  Utils:112 - [Utils] MethodGroupsHelper.sortMethods() took 0 ms.
  2022-06-17 21:15:15 INFO  Utils:112 - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 0 ms.
  2022-06-17 21:15:15 INFO  Utils:112 - [Utils] MethodGroupsHelper.sortMethods() took 0 ms.
  2022-06-17 21:15:15 INFO  Utils:112 - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 0 ms.
  2022-06-17 21:15:15 INFO  Utils:112 - [Utils] MethodGroupsHelper.sortMethods() took 0 ms.
  2022-06-17 21:15:15 INFO  Utils:112 - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 3 ms.
  2022-06-17 21:15:15 INFO  Utils:112 - [Utils] MethodGroupsHelper.sortMethods() took 0 ms.
  2022-06-17 21:15:15 INFO  Utils:112 - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 0 ms.
  2022-06-17 21:15:15 INFO  Utils:112 - [Utils] MethodGroupsHelper.sortMethods() took 0 ms.
  2022-06-17 21:15:15 INFO  Utils:112 - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 0 ms.
  2022-06-17 21:15:15 INFO  Utils:112 - [Utils] MethodGroupsHelper.sortMethods() took 0 ms.
  2022-06-17 21:15:15 INFO  Utils:112 - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 0 ms.
  2022-06-17 21:15:15 INFO  Utils:112 - [Utils] MethodGroupsHelper.sortMethods() took 0 ms.
  2022-06-17 21:15:15 INFO  Utils:112 - [TestNG] Running:
  D:\EPAM_QA_AUTUMN\IdeaProjectsMaven\HomeTask_Parallel_PageFactory\testng.xml

  2022-06-17 21:15:15 INFO  Utils:112 - [ThreadUtil] Starting executor timeOut:2147483647ms workers:1 threadPoolSize:1
  2022-06-17 21:15:16 INFO  Utils:112 - [Utils] DynamicGraphHelper.createDynamicGraph() took 8 ms.
  2022-06-17 21:15:16 INFO  Utils:112 - [TestNG] Time taken by org.uncommons.reportng.HTMLReporter@561868a0: 196 ms
  2022-06-17 21:15:16 INFO  Utils:112 - [TestNG] Time taken by org.uncommons.reportng.JUnitXMLReporter@495b0487: 32 ms
  2022-06-17 21:15:16 INFO  Utils:112 - [TestNG] Time taken by org.testng.internal.ExitCodeListener@55dfcc6: 1 ms
  2022-06-17 21:17:34 WARN  deprecation:62 - configuration key 'resource.loader' has been deprecated in favor of 'resource.loaders'
  2022-06-17 21:17:34 WARN  deprecation:62 - configuration key 'classpath.resource.loader.class' has been deprecated in favor of 'resource.loader.classpath.class'
  2022-06-17 21:17:35 INFO  Utils:112 - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 1 ms.
  2022-06-17 21:17:35 INFO  Utils:112 - [Utils] MethodGroupsHelper.sortMethods() took 3 ms.
  2022-06-17 21:17:35 INFO  Utils:112 - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 0 ms.
  2022-06-17 21:17:35 INFO  Utils:112 - [Utils] MethodGroupsHelper.sortMethods() took 0 ms.
  2022-06-17 21:17:35 INFO  Utils:112 - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 53 ms.
  2022-06-17 21:17:35 INFO  Utils:112 - [Utils] MethodGroupsHelper.sortMethods() took 77 ms.
  2022-06-17 21:17:35 INFO  Utils:112 - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 1 ms.
  2022-06-17 21:17:35 INFO  Utils:112 - [Utils] MethodGroupsHelper.sortMethods() took 1 ms.
  2022-06-17 21:17:35 INFO  Utils:112 - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 0 ms.
  2022-06-17 21:17:35 INFO  Utils:112 - [Utils] MethodGroupsHelper.sortMethods() took 0 ms.
